"ts","open","high","low","close","volume"
"1753315200000","189.3438","189.5564","189.0635","189.0691","305.44"
"1753315500000","189.0691","189.2165","188.4253","189.212","337.16"
"1753315800000","189.212","189.2174","189.2016","189.2035","165.28"
"1753316100000","189.2035","190.38","189.2011","190.2771","428.95"
"1753316400000","190.2771","190.9523","190.2738","190.8239","562.89"
"1753316700000","190.8239","190.9818","190.818","190.8805","510.37"
"1753317000000","190.8805","190.8986","190.4031","190.8166","365.11"
"1753317300000","190.8166","190.8196","190.5741","190.6799","256.39"
"1753317600000","190.6799","190.9","190.5763","190.6778","466.19"
"1753317900000","190.6778","190.6818","190.4863","190.6762","414.19"
"1753318200000","190.6762","190.6968","190.5821","190.6958","245.33"
"1753318500000","190.6958","191.1776","190.6952","191.1713","331.56"
"1753318800000","191.1713","191.1742","190.5844","190.7675","350.32"
"1753319100000","190.7675","190.7701","190.4388","190.4409","281.94"
"1753319400000","190.4409","190.4417","190.2781","190.3452","186.8"
"1753319700000","190.3452","190.7189","190.3452","190.7161","196.35"
"1753320000000","190.7161","190.718","190.5525","190.5755","261.13"
"1753320300000","190.5755","190.5825","190.2778","190.3663","212.14"
"1753320600000","190.3663","190.3717","189.897","190.2485","234.71"
"1753320900000","190.2485","190.3844","189.3504","190.3833","404.96"
"1753321200000","190.3833","190.5507","190.0143","190.11","184.52"
"1753321500000","190.11","190.6796","190.1074","190.5883","327.11"
"1753321800000","190.5883","190.9879","190.5825","190.9855","190.26"
"1753322100000","190.9855","191.578","190.9844","191.5713","277.35"
"1753322400000","191.5713","191.5837","191.4668","191.4676","386.9"
"1753322700000","191.4676","191.6931","191.3416","191.3416","298.77"
"1753323000000","191.3416","191.3468","191.17","191.1801","257.08"
"1753323300000","191.1801","191.1836","190.8762","190.8811","245.27"
"1753323600000","190.8811","190.8889","190.5704","190.8848","147.06"
"1753323900000","190.8848","190.8928","190.5712","190.5827","292.8"
"1753324200000","190.5827","190.6853","190.5747","190.6821","310.38"
"1753324500000","190.6821","191.0262","190.6722","191.009","233.64"
"1753324800000","191.009","191.2788","191.0062","191.2755","253.48"
"1753325100000","191.2755","191.5842","191.1778","191.1805","225.14"
"1753325400000","191.1805","191.2763","191.1683","191.2739","179.33"
"1753325700000","191.2739","191.2906","191.1754","191.1838","138.39"
"1753326000000","191.1838","191.28","190.8362","191.2791","168.36"
"1753326300000","191.2791","191.2794","190.8756","190.8832","128.22"
"1753326600000","190.8832","190.983","190.8809","190.971","94.33"
"1753326900000","190.971","191.2806","190.881","191.2397","226.21"
"1753327200000","191.2397","191.5855","191.2396","191.4803","218.15"
"1753327500000","191.4803","191.9063","191.4784","191.895","273.14"
"1753327800000","191.895","191.8963","191.5696","191.5722","261.18"
"1753328100000","191.5722","191.5736","191.1744","191.282","187.45"
"1753328400000","191.282","191.2829","191.2677","191.2785","154.69"
"1753328700000","191.2785","191.2794","190.5754","190.6805","304.92"
"1753329000000","190.6805","190.6805","190.2769","190.38","161.09"
"1753329300000","190.38","190.3809","189.8502","190.0313","383.93"
"1753329600000","190.0313","190.2886","189.5337","189.8914","275.53"
"1753329900000","189.8914","189.8929","189.8826","189.8908","122.97"
"1753330200000","189.8908","189.9243","189.4758","189.9231","296.29"
"1753330500000","189.9231","189.931","189.2832","189.5891","153.8"
"1753330800000","189.5891","189.5899","188.7127","188.7153","451.59"
"1753331100000","188.7153","188.7207","188.5125","188.513","256.39"
"1753331400000","188.513","188.5138","187.8091","187.9808","339.94"
"1753331700000","187.9808","187.9847","187.5189","187.9741","358.7"
"1753332000000","187.9741","187.9754","186.8656","186.8668","486.6"
"1753332300000","186.8668","187.0884","186.0779","186.7741","457.73"
"1753332600000","186.7741","186.7793","185.515","185.5204","488.31"
"1753332900000","185.5204","186.3246","185.4993","186.3197","488.01"
"1753333200000","186.3197","186.3206","185.7768","186.0847","391.6"
"1753333500000","186.0847","186.0886","184.689","184.9745","573.85"
"1753333800000","184.9745","184.9889","184.2778","184.6735","353.56"
"1753334100000","184.6735","185.5802","184.6689","185.2782","428.34"
"1753334400000","185.2782","185.4462","184.5236","184.677","321.78"
"1753334700000","184.677","184.9999","183.9991","184.7484","436.78"
"1753335000000","184.7484","185.3044","184.575","185.176","543.77"
"1753335300000","185.176","185.7294","185.1498","185.2761","669.24"
"1753335600000","185.2761","185.6375","185.2755","185.6185","556.89"
"1753335900000","185.6185","185.6691","184.5704","184.5807","642.63"
"1753336200000","184.5807","184.587","183.5","183.5","625.56"
"1753336500000","183.5","183.5005","181.4631","182.2787","765.68"
"1753336800000","182.2787","182.7757","181.9753","182.5771","747.61"
"1753337100000","182.5771","183.3049","182.5751","183.1476","647.91"
"1753337400000","183.1476","183.9135","182.9975","183.7765","444.77"
"1753337700000","183.7765","183.8837","182.4186","183.2764","421.39"
"1753338000000","183.2764","184.0038","183.1726","183.7775","411.08"
"1753338300000","183.7775","184.1665","183.7761","183.9038","460.58"
"1753338600000","183.9038","183.9074","183.7778","183.784","358.51"
"1753338900000","183.784","183.7868","182.4178","182.8747","436.89"
"1753339200000","182.8747","182.8789","181.0768","181.1792","542.99"
"1753339500000","181.1792","181.6746","180.7359","181.1792","567.18"
"1753339800000","181.1792","181.9053","180.099","180.5332","1046.1"
"1753340100000","180.5332","181.8067","180.5332","181.3638","517.2"
"1753340400000","181.3638","181.4146","180","180.0005","726"
"1753340700000","180.0005","182.0027","179.265","181.7798","652.42"
"1753341000000","181.7798","182.7797","181.7742","182.7797","694.07"
"1753341300000","182.7797","183.4049","182.6815","183.4023","688.31"
"1753341600000","183.4023","183.7456","182.9785","183.5717","357.36"
"1753341900000","183.5717","183.5797","183.0949","183.3783","524.4"
"1753342200000","183.3783","183.3792","182.9535","182.9598","528.05"
"1753342500000","182.9598","182.9634","182.6636","182.9547","360.7"
"1753342800000","182.9547","183.4044","182.9154","183.3784","228.97"
"1753343100000","183.3784","183.3903","182.6776","182.6802","203.82"
